symbol,name,exchange
^NQDMASPA8600LMN,NASDAQ DM ASPA Real Estate Larg,
537X.DE,,
3BVU.DE,DAXGL.EMER.11 SH.TR.EUR,GER
^NQEURO3000AUD,NASDAQ Eurozone Cnsmr Goods AUD,
^NQEMEAMCAUDN,NASDAQ EMEA Mid Cap AUD NTR Ind,
^NQXAUAGR,Nasdaq Gbl Ex-Australia Agricul,
TASEBOND.TA,,
^NQNA0001GBPT,NASDAQ N America Oil & Gas GBP,
^NQDMXNA,The NASDAQ DM Ex North America,
^NQEMASIA4000LMAU,NASDAQ EM Asia Health Care Lg M,
^NQNA8300LMCADT,NASDAQ N America Banks Large Mi,
5DBK.DE,INAV DEKA MSCI JAPAN EUR,GER
^NQATEUR,NASDAQ Austria EUR Index,
^NQDM5300AUD,NASDAQ Developed Retail AUD Ind,
XEFA.DE,DAXGLOBAL E11 EUR K,GER
^CAPEXAN,Nasdaq US CapEx Achievers Net T,
AEXEN.NX,,
^NQNA2700T,The NASDAQ North America Indust,
^NQDMASPAXJPLCT,Nasdaq DM ASPA Ex Japan Large C,
OATF.EX,,
^NQUSM2710EUR,NQ US Md Cap Aerospace & Defens,
^NQBRIC0001AUD,NASDAQ BRIC Oil & Gas AUD Index,
ENAXAP.L,,
